university,store_id,catalog_id,campus,campus_id,term,term_id,department,department_id,course,course_id,section,section_id,scanDate
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACE,334_1_10,604,604,800,800,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACE,334_1_10,618,618,800,800,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACE,334_1_10,625,625,800,800,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACE,334_1_10,632,632,800,800,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACE,334_1_10,670,670,800,800,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACE,334_1_10,688,688,800,800,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACE,334_1_10,692,692,800,800,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,211,211,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,211,211,2,2,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,211,211,3,3,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,221,221,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,231,231,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,312,312,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,313,313,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,314,314,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,315,315,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,322,322,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,325,325,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,332,332,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,335,335,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,416,416,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,417,417,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,418,418,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,427,427,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,428,428,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,431,431,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,436,436,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,438,438,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,511,511,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,511,511,2,2,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,521,521,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,532,532,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ACR,334_1_18,611,611,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,101,101,1,1,2022-02-05 9:46:58
